"","class","voting","sex","educnew","incomenew","racenew"
"394",1,"dem>60%","Female",1,3,"Asian"
"395",2,"dem>60%","Female",3,4,"Asian"
"396",2,"dem>60%","Female",2,4,"White"
"397",2,"dem>60%","Female",2,3,"Asian"
"398",2,"dem>60%","Female",3,4,"White"
"399",2,"dem>60%","Male",1,3,"Asian"
"400",3,"dem>60%","Male",3,4,"White"
"401",2,"dem>60%","Male",3,1,"White"
"402",1,"dem>60%","Female",2,4,"Asian"
"403",1,"dem>60%","Male",1,1,"Asian"
"404",2,"dem>60%","Male",1,1,"Asian"
"405",2,"dem>60%","Female",3,1,"Asian"
"406",1,"dem>60%","Female",3,3,"Asian"
"407",1,"dem>60%","Female",1,2,"Asian"
"408",2,"dem>60%","Female",1,3,"Asian"
"409",2,"dem>60%","Male",3,5,"Asian"
"410",1,"dem>60%","Male",2,3,"White"
"411",2,"dem>60%","Female",3,1,"Asian"
"412",1,"dem>60%","Male",1,3,"Other race"
"413",1,"dem>60%","Male",3,5,"Asian"
"414",1,"dem>60%","Female",2,1,"Other race"
"415",2,"dem>60%","Female",1,1,"Black"
"416",1,"dem>60%","Male",1,2,"Other race"
"417",2,"dem>60%","Female",2,5,"White"
"418",1,"dem>60%","Female",2,2,"White"
"419",2,"dem>60%","Female",2,2,"White"
"420",2,"dem>60%","Male",2,3,"White"
"421",2,"dem>60%","Female",2,1,"Black"
"422",2,"dem>60%","Female",2,3,"Other race"
"423",2,"dem>60%","Female",1,1,"Black"
"424",2,"dem>60%","Male",3,2,"White"
"425",2,"dem>60%","Female",3,5,"White"
"426",2,"dem>60%","Female",3,2,"White"
"427",1,"dem>60%","Male",1,1,"Black"
"428",1,"dem>60%","Female",1,1,"Asian"
"429",1,"dem>60%","Male",3,3,"Asian"
"430",1,"dem>60%","Female",3,3,"White"
"431",1,"dem>60%","Male",1,2,"White"
"432",3,"dem>60%","Male",3,5,"White"
"433",1,"dem>60%","Male",1,2,"White"
"434",2,"dem>60%","Female",2,5,"White"
"435",3,"dem>60%","Female",3,5,"White"
"436",1,"dem>60%","Male",3,4,"White"
"437",2,"dem>60%","Female",3,3,"Other race"
"438",2,"dem>60%","Female",3,5,"White"
"439",1,"dem>60%","Female",3,2,"White"
"440",1,"dem>60%","Male",2,3,"White"
"441",2,"dem>60%","Male",3,3,"White"
"442",1,"dem>60%","Male",1,2,"White"
"443",2,"dem>60%","Female",3,3,"Asian"
"444",2,"dem>60%","Male",2,2,"Black"
"445",2,"dem>60%","Female",1,1,"White"
"446",2,"dem>60%","Female",3,3,"White"
"447",2,"dem>60%","Female",2,5,"White"
"448",1,"dem>60%","Female",2,1,"Asian"
"449",2,"dem>60%","Male",3,1,"Black"
"450",3,"dem>60%","Female",3,4,"Other race"
"451",2,"dem>60%","Male",3,4,"White"
"452",1,"dem>60%","Male",1,2,"Other race"
"453",2,"dem>60%","Female",1,4,"Asian"
"454",2,"dem>60%","Female",3,1,"White"
"455",2,"dem>60%","Female",3,3,"Asian"
"456",2,"dem>60%","Male",2,3,"White"
"457",2,"dem>60%","Male",3,4,"White"
"458",2,"dem>60%","Female",3,4,"Asian"
"459",3,"dem>60%","Female",3,3,"White"
"460",3,"dem>60%","Male",2,5,"Black"
"461",2,"dem>60%","Male",2,2,"Black"
"462",3,"dem>60%","Male",1,1,"White"
"463",2,"dem>60%","Male",1,5,"White"
"464",1,"dem>60%","Male",2,2,"Asian"
"465",1,"dem>60%","Female",2,1,"Black"
"466",1,"dem>60%","Male",2,1,"Asian"
"467",2,"dem>60%","Female",2,1,"Black"
"468",2,"dem>60%","Female",3,3,"Asian"
"469",1,"dem>60%","Male",3,3,"Asian"
"470",1,"dem>60%","Male",1,1,"White"
"471",1,"dem>60%","Female",1,2,"White"
"472",2,"dem>60%","Male",3,4,"Other race"
"473",1,"dem>60%","Female",1,1,"White"
"474",2,"dem>60%","Female",2,4,"White"
"475",2,"dem>60%","Female",3,3,"White"
"476",2,"dem>60%","Female",3,3,"Asian"
"477",2,"rep<10%","Female",2,4,"White"
"478",1,"rep<10%","Male",1,2,"White"
"479",1,"rep<10%","Male",1,2,"Other race"
"480",1,"rep<10%","Female",3,2,"Other race"
"481",1,"rep<10%","Male",2,3,"White"
"482",1,"rep<10%","Male",2,1,"White"
"483",2,"rep<10%","Male",3,1,"White"
"484",1,"rep<10%","Female",1,4,"Other race"
"485",2,"rep<10%","Male",2,2,"White"
"486",3,"rep<10%","Male",2,4,"White"
"487",1,"rep<10%","Female",1,1,"White"
"488",2,"rep<10%","Female",3,3,"White"
"489",1,"rep<10%","Male",1,2,"Other race"
"490",2,"rep<10%","Male",1,1,"White"
"491",1,"rep<10%","Female",1,1,"White"
"492",2,"rep<10%","Female",3,2,"White"
"493",1,"rep<10%","Male",1,1,"White"
"494",2,"rep<10%","Female",2,3,"Other race"
"495",1,"rep<10%","Male",1,1,"White"
"496",2,"rep<10%","Female",3,3,"White"
"497",1,"rep<10%","Male",2,1,"White"
"498",1,"rep<10%","Male",1,1,"Other race"
"499",1,"60%>rep>10%","Male",1,2,"White"
"500",1,"60%>rep>10%","Male",2,3,"Other race"
"501",2,"60%>rep>10%","Female",3,3,"White"
"502",2,"60%>rep>10%","Female",3,2,"White"
"503",1,"60%>rep>10%","Male",1,2,"White"
"504",2,"60%>rep>10%","Male",1,5,"White"
"505",2,"60%>rep>10%","Female",2,2,"Other race"
"506",1,"60%>rep>10%","Male",1,5,"White"
"507",3,"60%>rep>10%","Female",3,1,"Asian"
"508",1,"60%>rep>10%","Female",1,2,"White"
"509",1,"60%>rep>10%","Female",1,4,"White"
"510",1,"60%>rep>10%","Male",3,3,"White"
"511",2,"60%>rep>10%","Male",2,1,"White"
"512",1,"dem<10%","Male",3,2,"White"
"513",2,"dem<10%","Male",3,4,"White"
"514",1,"dem<10%","Male",1,1,"White"
"515",1,"dem<10%","Male",1,1,"White"
"516",2,"dem<10%","Female",2,4,"White"
"517",2,"dem<10%","Female",1,1,"White"
"518",2,"dem<10%","Female",3,1,"White"
"519",1,"dem<10%","Female",2,3,"White"
"520",2,"dem<10%","Female",1,5,"White"
"521",1,"dem<10%","Female",2,3,"White"
"522",1,"dem<10%","Male",1,2,"White"
"523",2,"dem<10%","Male",2,1,"White"
"524",2,"dem<10%","Female",2,1,"White"
"525",1,"dem<10%","Female",1,1,"Other race"
"526",1,"dem<10%","Male",1,2,"Other race"
"527",2,"dem<10%","Female",2,4,"White"
"528",1,"dem<10%","Male",3,3,"White"
"529",3,"dem<10%","Female",2,1,"White"
"530",2,"dem<10%","Female",1,1,"White"
"531",1,"dem<10%","Male",2,1,"White"
"532",2,"dem<10%","Male",2,1,"White"
"533",1,"dem<10%","Male",2,1,"White"
"534",1,"dem<10%","Female",3,1,"White"
"535",2,"dem<10%","Female",2,2,"Other race"
"536",1,"dem<10%","Female",2,2,"White"
"537",1,"dem<10%","Male",1,1,"White"
"538",2,"dem<10%","Male",3,1,"White"
"539",2,"dem<10%","Male",2,1,"White"
"540",2,"dem<10%","Female",3,5,"White"
"541",1,"dem<10%","Male",2,4,"Asian"
"542",1,"dem<10%","Male",2,1,"White"
"543",1,"dem<10%","Male",1,1,"Other race"
"544",1,"dem<10%","Female",1,3,"White"
"545",3,"dem<10%","Female",3,5,"White"
"546",2,"dem<10%","Female",2,1,"White"
"547",1,"60%>dem>10%","Male",1,2,"White"
"548",1,"60%>dem>10%","Female",3,1,"White"
"549",2,"60%>dem>10%","Female",2,3,"White"
"550",1,"60%>dem>10%","Male",1,1,"White"
"551",1,"60%>dem>10%","Female",2,1,"White"
"552",2,"60%>dem>10%","Female",1,1,"White"
"553",1,"60%>dem>10%","Female",1,2,"White"
"554",1,"60%>dem>10%","Female",2,4,"White"
"555",2,"60%>dem>10%","Male",2,3,"White"
"556",1,"60%>dem>10%","Female",1,1,"White"
"557",1,"60%>dem>10%","Female",2,1,"White"
"558",2,"60%>dem>10%","Male",1,3,"White"
"559",1,"60%>dem>10%","Female",2,1,"White"
"560",1,"60%>dem>10%","Female",1,1,"White"
"561",1,"60%>dem>10%","Female",2,1,"White"
"562",1,"60%>dem>10%","Male",1,1,"Black"
"563",2,"60%>dem>10%","Male",3,3,"White"
"564",1,"60%>dem>10%","Male",2,3,"White"
"565",1,"60%>dem>10%","Male",1,1,"White"
"566",1,"60%>dem>10%","Female",1,1,"White"
